__time,/joint_states/fanuc_m20ia_35m_joint1/position,/joint_states/fanuc_m20ia_35m_joint1/velocity,/joint_states/fanuc_m20ia_35m_joint2/position,/joint_states/fanuc_m20ia_35m_joint2/velocity,/joint_states/fanuc_m20ia_35m_joint3/position,/joint_states/fanuc_m20ia_35m_joint3/velocity,/joint_states/fanuc_m20ia_35m_joint4/position,/joint_states/fanuc_m20ia_35m_joint4/velocity,/joint_states/fanuc_m20ia_35m_joint5/position,/joint_states/fanuc_m20ia_35m_joint5/velocity,/joint_states/fanuc_m20ia_35m_joint6/position,/joint_states/fanuc_m20ia_35m_joint6/velocity,/joint_states/header/stamp,/joint_states/joint_world_to_slider/position,/joint_states/joint_world_to_slider/velocity
1707309220.342114,0.000564734,0.160890270,-0.000109680,0.049544549,-0.000098605,0.044082792,-0.002197390,1.201629038,0.006424489,-0.039144784,0.001208687,-1.789009057,9.827000000,0.000692160,-0.022119269
1707309220.346230,0.000722396,0.157661961,-0.000060897,0.048782672,-0.000047467,0.051138166,0.000722469,2.919859336,0.006240990,-0.183499093,-0.002394554,-3.603240718,9.828000000,0.000669590,-0.022569971
1707309220.346966,0.000848683,0.126287409,-0.000001878,0.059019056,-0.000041860,0.005607760,0.001840444,1.117974728,0.006091062,-0.149927152,-0.003931774,-1.537220490,9.829000000,0.000649394,-0.020195703
1707309220.348682,0.000939174,0.090490904,0.000067018,0.068896359,-0.000081741,-0.039881107,0.001175494,-0.664950199,0.005977851,-0.113211165,-0.003400232,0.531542283,9.830000000,0.000632390,-0.017004529
1707309220.351858,0.000990236,0.051062243,0.000140873,0.073854762,-0.000153301,-0.071560274,-0.001240855,-2.416348903,0.005870007,-0.107844232,-0.000811781,2.588451493,9.831000000,0.000619220,-0.013169561
1707309220.359775,0.001003022,0.012785505,0.000206956,0.066082794,-0.000204280,-0.050979320,-0.002820767,-1.579912415,0.005630249,-0.239757735,0.001211953,2.023733781,9.832000000,0.000610001,-0.009219642
1707309220.361041,0.000995397,-0.007624228,0.000257357,0.050400590,-0.000208612,-0.004332181,-0.002598927,0.221840062,0.005161166,-0.469082873,0.001427352,0.215398882,9.833000000,0.000603386,-0.006615114
1707309220.364049,0.000968218,-0.027179283,0.000290945,0.033588443,-0.000163831,0.044781500,-0.000540656,2.058271399,0.004455335,-0.705831355,-0.000213812,-1.641163765,9.834000000,0.000599313,-0.004072858
1707309220.367207,0.000908356,-0.059862526,0.000313231,0.022285696,-0.000090129,0.073702339,0.002608053,3.148708944,0.003587446,-0.867889044,-0.002759763,-2.545951702,9.835000000,0.000598752,-0.000560451
1707309220.369209,0.000809522,-0.098833232,0.000336451,0.023220229,-0.000041299,0.048829140,0.003984130,1.376077249,0.002709303,-0.878142687,-0.003229989,-0.470225137,9.836000000,0.000602008,0.003255783
1707309220.374141,0.000676252,-0.133270385,0.000365115,0.028664081,-0.000031786,0.009513605,0.003583531,-0.400599498,0.001854072,-0.855231625,-0.001644627,1.585361035,9.837000000,0.000608383,0.006375187
1707309220.375408,0.000513881,-0.162370897,0.000399763,0.034648471,-0.000063987,-0.032200718,0.001412009,-2.171521564,0.001024715,-0.829357186,0.001964339,3.608966927,9.838000000,0.000617009,0.008626242
